Name IMM  ZP  ZPX  ZPY  IND  INDX INDY ACC ABS  ABSX ABSY BRAN
ADC 0x69 0x65 0x75 null null 0x61 0x71 null 0x6d 0x7d 0x79 null
AND 0x29 0x25 0x35 null null 0x21 0x31 null 0x2d 0x3d 0x39 null
ASL null 0x06 0x16 null null null null 0x0a 0x0e 0x1e null null
BIT null 0x24 null null null null null null 0x2c null null null
BPL null null null null null null null null null null null 0x10
BMI null null null null null null null null null null null 0x30
BVC null null null null null null null null null null null 0x50
BVS null null null null null null null null null null null 0x70
BCC null null null null null null null null null null null 0x90
BCS null null null null null null null null null null null 0xb0
BNE null null null null null null null null null null null 0xd0
BEQ null null null null null null null null null null null 0xf0
BRK null null null null null null null 0x00 null null null null
CMP 0xc9 0xc5 0xd5 null null 0xc1 0xd1 null 0xcd 0xdd 0xd9 null
CPX 0xe0 0xe4 null null null null null null 0xec null null null
CPY 0xc0 0xc4 null null null null null null 0xcc null null null
DEC null 0xc6 0xd6 null null null null null 0xce 0xde null null
EOR 0x49 0x45 0x55 null null 0x41 0x51 null 0x4d 0x5d 0x59 null
CLC null null null null null null null 0x18 null null null null
SEC null null null null null null null 0x38 null null null null
CLI null null null null null null null 0x58 null null null null
SEI null null null null null null null 0x78 null null null null
CLV null null null null null null null 0xb8 null null null null
CLD null null null null null null null 0xd8 null null null null
SED null null null null null null null 0xf8 null null null null
INC null 0xe6 0xf6 null null null null null 0xee 0xfe null null
JMP null null null null 0x6c null null null 0x4c null null null
JSR null null null null null null null null 0x20 null null null
LDA 0xa9 0xa5 0xb5 null null 0xa1 0xb1 null 0xad 0xbd 0xb9 null
LDX 0xa2 0xa6 null 0xb6 null null null null 0xae null 0xbe null
LDY 0xa0 0xa4 0xb4 null null null null null 0xac 0xbc null null
LSR null 0x46 0x56 null null null null 0x4a 0x4e 0x5e null null
NOP null null null null null null null 0xea null null null null
ORA 0x09 0x05 0x15 null null 0x01 0x11 null 0x0d 0x1d 0x19 null
TAX null null null null null null null 0xaa null null null null
TXA null null null null null null null 0x8a null null null null
DEX null null null null null null null 0xca null null null null
INX null null null null null null null 0xe8 null null null null
TAY null null null null null null null 0xa8 null null null null
TYA null null null null null null null 0x98 null null null null
DEY null null null null null null null 0x88 null null null null
INY null null null null null null null 0xc8 null null null null
ROR null 0x66 0x76 null null null null 0x6a 0x6e 0x7e null null
ROL null 0x26 0x36 null null null null 0x2a 0x2e 0x3e null null
RTI null null null null null null null 0x40 null null null null
RTS null null null null null null null 0x60 null null null null
SBC 0xe9 0xe5 0xf5 null null 0xe1 0xf1 null 0xed 0xfd 0xf9 null
STA null 0x85 0x95 null null 0x81 0x91 null 0x8d 0x9d 0x99 null
TXS null null null null null null null 0x9a null null null null
TSX null null null null null null null 0xba null null null null
PHA null null null null null null null 0x48 null null null null
PLA null null null null null null null 0x68 null null null null
PHP null null null null null null null 0x08 null null null null
PLP null null null null null null null 0x28 null null null null
STX null 0x86 null 0x96 null null null null 0x8e null null null
STY null 0x84 0x94 null null null null null 0x8c null null null
